DRAW -0.028333 0.256025 1.000000
DRAW -0.020650 0.262269 1.000000
DRAW -0.010692 0.262772 1.000000
DRAW -0.002222 0.258018 1.000000
DRAW 0.002051 0.249344 1.000000
DRAW 0.002051 0.239331 1.000000
DRAW 0.005231 0.230205 1.000000
DRAW 0.005231 0.220192 1.000000
DRAW 0.005231 0.210178 1.000000
DRAW 0.005231 0.200165 1.000000
DRAW 0.005231 0.190152 1.000000
DRAW 0.004871 0.180171 1.000000
DRAW 0.002051 0.171012 1.000000
DRAW 0.002051 0.160999 1.000000
DRAW 0.002051 0.150986 1.000000
DRAW -0.000225 0.141503 1.000000
DRAW -0.001129 0.131847 1.000000
DRAW -0.001129 0.121833 1.000000
DRAW -0.003756 0.112482 1.000000
DRAW -0.004329 0.102694 1.000000
DRAW -0.007488 0.093567 1.000000
DRAW -0.009883 0.084128 1.000000
DRAW -0.012801 0.074908 1.000000
DRAW -0.017027 0.066208 1.000000
DRAW -0.020356 0.057110 1.000000
DRAW -0.024369 0.048142 1.000000
DRAW -0.029060 0.039498 1.000000
DRAW -0.034168 0.031182 1.000000
DRAW -0.039290 0.022880 1.000000
DRAW -0.044483 0.014643 1.000000
DRAW -0.051493 0.007497 1.000000
DRAW -0.058439 0.000353 1.000000
DRAW -0.063695 -0.007885 1.000000
DRAW -0.070776 -0.014966 1.000000
DRAW -0.079078 -0.020088 1.000000
DRAW -0.086158 -0.027168 1.000000
DRAW -0.093887 -0.033356 1.000000
DRAW -0.101540 -0.039371 1.000000
DRAW -0.109842 -0.044493 1.000000
DRAW -0.103755 -0.042473 1.000000
DRAW -0.093742 -0.042464 1.000000
DRAW -0.085161 -0.046961 1.000000
DRAW -0.077348 -0.052726 1.000000
DRAW -0.068613 -0.057267 1.000000
DRAW -0.060255 -0.062328 1.000000
DRAW -0.053175 -0.069408 1.000000
DRAW -0.044785 -0.074349 1.000000
DRAW -0.035785 -0.078258 1.000000
DRAW -0.027084 -0.082856 1.000000
DRAW -0.018992 -0.088237 1.000000
DRAW -0.009818 -0.091224 1.000000
DRAW -0.001203 -0.095957 1.000000
DRAW 0.007239 -0.100008 1.000000
DRAW 0.015132 -0.105919 1.000000
DRAW 0.024377 -0.108808 1.000000
DRAW 0.031438 -0.115907 1.000000
DRAW 0.036582 -0.124188 1.000000
DRAW 0.042840 -0.131875 1.000000
DRAW 0.046827 -0.140793 1.000000
DRAW 0.051656 -0.149338 1.000000
DRAW 0.055831 -0.158249 1.000000
DRAW 0.056105 -0.168241 1.000000
DRAW 0.057829 -0.177635 1.000000
DRAW 0.061542 -0.170837 1.000000
DRAW 0.061542 -0.160824 1.000000
DRAW 0.061545 -0.150810 1.000000
DRAW 0.064722 -0.141684 1.000000
DRAW 0.065316 -0.131740 1.000000
DRAW 0.068363 -0.122591 1.000000
DRAW 0.072716 -0.113757 1.000000
DRAW 0.079638 -0.106538 1.000000
DRAW 0.086718 -0.099458 1.000000
DRAW 0.093798 -0.092378 1.000000
DRAW 0.100879 -0.085297 1.000000
DRAW 0.107959 -0.078217 1.000000
DRAW 0.116261 -0.073095 1.000000
DRAW 0.123341 -0.066014 1.000000
DRAW 0.130768 -0.059366 1.000000
DRAW 0.137266 -0.052090 1.000000
DRAW 0.144277 -0.044976 1.000000
MOVE 0.144277 -0.044976 1.300000
